station_id,source_year,example_local_path
711930-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71193099999.csv
711960-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71196099999.csv
711980-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71198099999.csv
711990-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71199099999.csv
712010-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71201099999.csv
712030-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71203099999.csv
712060-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71206099999.csv
712070-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71207099999.csv
712081-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71208199999.csv
712090-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71209099999.csv
712110-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71211099999.csv
712120-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71212099999.csv
712160-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71216099999.csv
712170-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71217099999.csv
712180-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71218099999.csv
712190-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71219099999.csv
712200-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71220099999.csv
712220-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71222099999.csv
712250-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71225099999.csv
712310-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71231099999.csv
712320-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71232099999.csv
712340-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71234099999.csv
712350-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71235099999.csv
712360-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71236099999.csv
712370-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71237099999.csv
712430-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71243099999.csv
712450-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71245099999.csv
