diagnostic_run_id,plant_ecwt_run_id,station_id,station_name,station_state,station_country,station_first_observation_utc,station_last_observation_utc,impacted_blocked_plant_count,min_candidate_rank_order,min_candidate_distance_km,sample_blocked_plants,fixed_expected_djf_hours,fixed_valid_djf_hours,fixed_missing_djf_hours,fixed_coverage_ratio,plant_weighted_missing_djf_hours,missing_station_year_count,complete_loaded_year_count,partial_loaded_year_count,empty_loaded_year_count,outside_station_metadata_window_year_count,terminal_aws_missing_year_count,retryable_download_failure_year_count,downloaded_no_canonical_djf_year_count,available_raw_not_loaded_year_count,raw_inventory_missing_year_count,no_download_or_manifest_evidence_year_count,top_gap_years
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,701170-26634,TIN CITY LRRS AIRPORT,AK,US,2005-12-31 16:00:00-08,2025-08-22 17:00:00-07,20,2,71.395,Snake River | Unalakleet | Chevak | Emmonak | Hooper Bay | Mountain Village | St Marys IC | Shishmaref,56328,36181,20147,0.642327,402940,26,13,7,0,6,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2025:partial_loaded:2159h; 2024:partial_loaded:2064h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,997295-99999,TOLEDO,,US,2007-12-31 16:00:00-08,2025-08-23 17:00:00-07,18,60,161.825,Montpelier Electric Generating Station | Middlebury Solar | AEP Churubusco NaS | Columbia City Solar Park | Elkhart County Solar Project | B E Morrow | Constantine | Mottville,56328,35432,20896,0.629030,376128,26,15,2,0,8,1,0,0,0,0,0,2016:terminal_aws_missing:2184h; 2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2007:outside_station_metadata_window:2160h; 2006:outside_station_metadata_window:2160h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-63898,BEDFORD 5 WNW,IN,US,2007-10-02 17:00:00-07,2025-08-27 17:00:00-07,20,39,154.833,"Jay County LFGTE | Wildcat Wind Farm II LLC` | Deer Creek PV | IMPA Anderson Solar Park 2 | Bluff Point Wind Facility | Gas City Solar Park | Bitter Ridge Wind Farm, LLC | POET Biorefining - Portland",56328,38711,17617,0.687243,352340,14,5,2,0,7,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2006:outside_station_metadata_window:2160h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2007:partial_loaded:1416h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,723530-13967,WILL ROGERS WORLD AIRPORT,OK,US,1941-12-13 16:00:00-08,2025-08-26 17:00:00-07,12,52,166.823,"Marietta | Signal Hill Generating LLC | Works 4 | Wolf Ridge Wind | Shannon Wind | Windthorst-2 | Electra Wind Farm | Tyler Bluff Wind Project, LLC",56328,27137,29191,0.481768,350292,26,5,21,0,0,0,0,0,0,0,0,2025:partial_loaded:1657h; 2005:partial_loaded:1443h; 2016:partial_loaded:1424h; 2008:partial_loaded:1419h; 2012:partial_loaded:1411h; 2020:partial_loaded:1405h; 2015:partial_loaded:1403h; 2006:partial_loaded:1403h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-03060,MONTROSE 11 ENE,CO,US,2004-07-24 17:00:00-07,2025-08-27 17:00:00-07,26,5,77.198,Alamosa | Tacoma | Ames Hydro | McPhee | Towaoc | Williams Ignacio Natural Gas Plant | Vallecito Hydroelectric | SMPA Solar 1 Community Solar,56328,43284,13044,0.768428,339144,12,5,2,0,4,1,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2006:terminal_aws_missing:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2004:partial_loaded:1440h; 2025:partial_loaded:744h; 2024:complete_loaded:19h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-63895,RUSSELLVILLE 4 SSE,AL,US,2006-08-15 17:00:00-07,2025-08-27 17:00:00-07,22,51,203.661,"Osceola (AR) | Dell Power Station | Plum Point Energy Station | West Memphis Solar Station | Big Cypress Solar, LLC | Driver Solar | Crooked Lake Solar, LLC | Forgeview Solar",56328,41096,15232,0.729584,335104,16,8,2,0,6,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2006:partial_loaded:1416h; 2025:partial_loaded:744h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-63849,BOWLING GREEN 21 NNE,KY,US,2004-05-18 17:00:00-07,2025-08-27 17:00:00-07,23,38,165.696,"Marion | Clendenin A Community Solar, LLC CSG | SV CSG Barrass Farms II LL | SV CSG Corbell | Pulaski Solar | Barkley | Kentucky Dam | Shawnee",56328,43288,13040,0.768499,299920,13,6,2,0,4,1,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2006:terminal_aws_missing:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2004:partial_loaded:1441h; 2025:partial_loaded:744h; 2024:complete_loaded:20h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,994190-99999,DEVILS ISLAND  WI,,US,1985-04-30 17:00:00-07,2025-08-23 17:00:00-07,16,29,115.698,Thomson | Moose Lake | Grand Casino Hinckley Solar | MP CSG 1 LLC | Gordon | Trego | Clam River Dam | Danbury Dam,56328,38263,18065,0.679289,289040,26,15,5,0,0,6,0,0,0,0,0,2016:terminal_aws_missing:2184h; 2000:terminal_aws_missing:2184h; 2007:terminal_aws_missing:2160h; 2006:terminal_aws_missing:2160h; 2005:terminal_aws_missing:2160h; 2001:terminal_aws_missing:2160h; 2008:partial_loaded:1769h; 2009:partial_loaded:1285h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-93816,EFFINGHAM COUNTY MEMORIAL ARPT,IL,US,1948-11-30 17:00:00-07,2025-08-25 17:00:00-07,18,39,148.787,Grand Tower Energy Center LLC | SIUC | John A Logan College Solar | Hurricane Creek CSG | SV CSG Bishop 1 LLC | Viaduct | Taum Sauk | Jackson (MO),56328,41022,15306,0.728270,275508,26,15,5,2,0,4,0,0,0,0,0,2004:empty_loaded:2184h; 2000:terminal_aws_missing:2184h; 2005:terminal_aws_missing:2160h; 2003:terminal_aws_missing:2160h; 2002:empty_loaded:2160h; 2001:terminal_aws_missing:2160h; 2025:partial_loaded:762h; 2022:partial_loaded:299h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-53974,MANHATTAN 6 SSW,KS,US,2003-09-30 17:00:00-07,2025-08-27 17:00:00-07,25,34,150.425,"La Cygne | Garnett Municipal | Jetmore | Osawatomie City of | Osawatomie | Oak Grove Power Producers | Alexander Wind Farm LLC | East Kansas Agri-Energy, LLC",56328,45403,10925,0.806047,273125,13,7,2,0,3,1,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2006:terminal_aws_missing:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2003:partial_loaded:1416h; 2025:partial_loaded:744h; 2008:complete_loaded:33h; 2012:complete_loaded:22h
