scenario_run_id,priority_run_id,coverage_run_id,station_ecwt_run_id,radius_km,plant_count,plants_with_passing_station,plants_without_passing_station,pass_rate,min_nearest_pass_distance_km,median_nearest_pass_distance_km,max_nearest_pass_distance_km,median_nearest_pass_rank_order,median_nearest_pass_all_station_rank_order
expanded_candidate_coverage_scenario_20260625T064545Z,normalized_active_window_blocker_priority_20260625T060119Z,station_year_djf_coverage_20260625T035921Z,station_ecwt_loaded_20260625T042423Z,50.000,1004,76,928,0.075697,26.764,42.882,49.716,13.5,14.0
expanded_candidate_coverage_scenario_20260625T064545Z,normalized_active_window_blocker_priority_20260625T060119Z,station_year_djf_coverage_20260625T035921Z,station_ecwt_loaded_20260625T042423Z,75.000,1004,256,748,0.254980,26.764,59.597,74.719,15.0,15.0
expanded_candidate_coverage_scenario_20260625T064545Z,normalized_active_window_blocker_priority_20260625T060119Z,station_year_djf_coverage_20260625T035921Z,station_ecwt_loaded_20260625T042423Z,100.000,1004,379,625,0.377490,26.764,67.512,99.902,16.0,17.0
expanded_candidate_coverage_scenario_20260625T064545Z,normalized_active_window_blocker_priority_20260625T060119Z,station_year_djf_coverage_20260625T035921Z,station_ecwt_loaded_20260625T042423Z,150.000,1004,635,369,0.632470,26.764,87.835,149.996,19.0,20.0
expanded_candidate_coverage_scenario_20260625T064545Z,normalized_active_window_blocker_priority_20260625T060119Z,station_year_djf_coverage_20260625T035921Z,station_ecwt_loaded_20260625T042423Z,250.000,1004,995,9,0.991036,26.764,124.131,242.550,23.0,26.0
expanded_candidate_coverage_scenario_20260625T064545Z,normalized_active_window_blocker_priority_20260625T060119Z,station_year_djf_coverage_20260625T035921Z,station_ecwt_loaded_20260625T042423Z,500.000,1004,1000,4,0.996016,26.764,124.695,257.879,24.0,26.0
expanded_candidate_coverage_scenario_20260625T064545Z,normalized_active_window_blocker_priority_20260625T060119Z,station_year_djf_coverage_20260625T035921Z,station_ecwt_loaded_20260625T042423Z,1000.000,1004,1001,3,0.997012,26.764,124.971,979.141,24.0,26.0
